section,part,distinction,target,type,issue,context,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,line_start,line_end,decision,notes,status
D. d.13–19 multi-pars mess,pt1,d.13,d13-a1-q3,boundary,OVERLAP 231 lines (a1-q2 ↔ a1-q3); a1-q3 starts mid-content at line 44588,Real QUAESTIO III header at line 44299; ends at line 44821 (QUAESTIO IV starts 44822),235,237,337,339,44299,44821,Use 44299–44821 for d13-a1-q3,Verified from PDF p.235 (QUAESTIO III. Utrum processio Spiritus sancti differat...) and p.238 (QUAESTIO IV. Utrum Spiritus sanctus sit ingenitus),done
D. d.13–19 multi-pars mess,pt1,d.14,d14-a2-q2,boundary,a2-q2 starts mid-content at line 46569,Real QUAESTIO II header at line 46571 (current chunk leaks 2 lines back); ends at 47035 (DUBIA CIRCA LITTERAM MAGISTRI starts 47036),250,252,352,354,46571,47035,Use 46571–47035 for d14-a2-q2,Verified from PDF p.250 (QUAESTIO II. Utrum Spiritus sanctus detur ab aliquo viro sancto) and p.253 (DUBIA CIRCA LITTERAM MAGISTRI),done
D. d.13–19 multi-pars mess,pt1,d.15,d15 multi (full re-chunk),boundary,p1-a1-q1 mid-content at 47854; p2-a1-q3 starts at running head (49948); GAPs 341 + 411 lines,"Full structure verified from raw headers (COMMENTARIUS at 47789 and 49415; TRACTATIO at 47874 and 49458)",259,266,361,368,47789,50623,"Re-chunk both pars; p1 divisio 47789–47895, q1 47896–48230, q2 48231–48432, q3 48433–48672, q4 48673–49414; p2 divisio 49415–49507, q1 49508–49737, q2 49738–49948, q3 49949–50623","Pars 1 verified from PDF screenshots (p.259/261/262/264). Pars 2 derived from raw headers — confirm with PDF before applying. d.16 begins at line 50624.",done

D. d.13–19 multi-pars mess,pt1,d.16,d16 multi (full re-chunk),boundary,a1-q3 mid-content at 51429; OVERLAP 288; GAPs 1058 + 359,"Real q3 header at OUAESTIO 111. line 51432 (OCR Q→O III→111 — boundary-audit regex missed it). Full structure: COMMENTARIUS 50624 / TRACTATIO 50734 / Q1 50751 / Q2 51067 / Q3 51432 / DUBIA CIRCA LITTERAM 51763 / d.17 begins 52652",271,287,373,389,50624,52651,"Re-chunk: divisio 50624–50750, a1-q1 50751–51066, a1-q2 51067–51431, a1-q3 51432–51762, dubia 51763–52651","q3 verified from PDF p.283 (QUAESTIO III. Quibus modis facta sit missio visibilis); dubia start verified from p.285 (DUBIA CIRCA LITTERAM MAGISTRI). Suggest patching boundary-audit.py to recognize OCR variant 'OUAESTIO 111.'",done
D. d.13–19 multi-pars mess,pt1,d.17,d17 (no chunks — full build),distinction-missing,NO CHUNKS AT ALL — DISTINCTIO XVII OCR-garbled in raw,"d.17 (lines 51993–56763) has 13 chunks: littera + 2 pars × (divisio + 4 quaestiones + dubia). OCR-garbled headers: 'DIST. XVd/' line 51993 = DIST. XVII; 'gl!.\ESTIO [11.' line 53715 = QUAESTIO III (p1-q3); 'QLWESTIO 11.' line 55481 = QUAESTIO II (p2-q2); 'DHBIA C1RC.\ LITTER.Wl MACISTRL' line 56632 = DUBIA CIRCA LITTERAM MAGISTRI (p2). NOTE: 'DISTINCTIO XVIU.' at line 56737 is a running head; real DIST. XVIII starts line 56764. d17-p2-dubia ends at line 56763 (DUB. IV finishes there).",287,313,389,415,51993,56763,"Build 13 chunks: d17-littera 51993–52651; d17-p1-divisio 52652–52775; d17-p1-a1-q1 52776–53400; d17-p1-a1-q2 53401–53714; d17-p1-a1-q3 53715–54017; d17-p1-a1-q4 54018–54528; d17-p1-dubia 54529–54957; d17-p2-divisio 54958–55021; d17-p2-a1-q1 55022–55480; d17-p2-a1-q2 55481–55906; d17-p2-a1-q3 55907–56281; d17-p2-a1-q4 56282–56631; d17-p2-dubia 56632–56763","Verified from PDF p.287 (DIST. XVII / PARS I / CAP. I — Lombard) and p.291 (COMMENTARIUS IN DISTINCTIONEM XVII). End range corrected after seeing p.319 has DUB. IV at top before real DIST. XVIII begins. Recommend patching auto-chunk-volume.py + boundary-audit.py with OCR variants 'gl!\\.\\\\ESTIO', 'QLWESTIO', 'DHBIA C1RC' and a running-head filter (DISTINCTIO immediately followed by page number)",done
D. d.13–19 multi-pars mess,pt1,d.18,d18 multi (full re-chunk),boundary,Missing divisio; stale d18-a1-q5-v2 file; OVERLAP 1079 lines; 2 UNCOVERED QUAESTIOs at 57308 and 57809,"d.18 commentarius header at line 57200 (heavily OCR-mangled: 'C0MMENTARIII8 IN DI8T1NCT10NEM XVIIl.'); DIVISIO TEXTUS at 57205; TRACTATIO QUAESTIONUM at 57263 (lists 6 questions: Primo–Sexto). Q3 garbled as 'QIIAESTIO III.' line 57811; Q5 garbled as 'QUAFSTK) V.' line 58354. Q6 has no separate header — Bonaventure treats Q5 (distinctiva) and Q6 (noster) together; SCHOLION at 58966 says 'duplicem resolvit quaestionem'. DUBIA CIRCA LITTERAM MAGISTRI at line 59006",319,344,421,446,56764,60180,"Build chunks: d18-littera 56764–57199; d18-divisio 57200–57308 (commentarius + divisio textus + tractatio); d18-a1-q1 57309–57595; d18-a1-q2 57596–57810; d18-a1-q3 57811–58055; d18-a1-q4 58056–58353; d18-a1-q5 58354–59005 (covers Q5+Q6 together — note in chunk that response addresses both 'distinctiva' and 'noster'); d18-dubia 59006–60180. DELETE d18-a1-q5-v2.md; OVERWRITE existing d18-a1-q5.md (currently 58203–58609 — wrong range)","Verified from PDF p.319 screenshot (DUB. IV at top is d.17 tail; real DISTINCTIO XVIII begins below with CAP. I 'Utrum concedendum sit, per donum dari dona'). The existing q5-v2 was generated by treating a running head ('DIST. XVlli. .VRT. UNICUS QU.\\\\EST. V.' at 58610) as a section break — actual Q5 starts 256 lines earlier at 58354",done
D. d.13–19 multi-pars mess,pt1,d.19,d19 multi (full re-chunk),boundary,6 mid-content starts; 3 OVERLAPs (368/916/232); 1 GAP 626; multi-pars p0/p1/p2,"d.19 (lines 59285–64134) has 12 chunks: littera + 2 pars × (divisio + 4 quaestiones for p1 / 3 for p2 + dubia). Bonaventure's p1 has 4 questions + 11 dubia (DUB. I–XI); p2 has 3 questions + 3 dubia. OCR-garbled headers (now caught by patched regex): 'QU.\\ESriO II.' line 60592 (p1-q2); 'QU.\\EST10 lll.' line 60906 (p1-q3); 'COMMENTARIUS m M8TINCTI0NEM XIX.' line 60181 (p1 commentarius); 'QU.VESTIO lll.' line 62964 (p2-q3). d.20 commentarius at line 64135.",327,367,429,469,59285,64134,"Build chunks: d19-littera 59285–60180; d19-p1-divisio 60181–60285; d19-p1-a1-q1 60286–60591; d19-p1-a1-q2 60592–60905; d19-p1-a1-q3 60906–61084; d19-p1-a1-q4 61085–61567; d19-p1-dubia 61568–62049 (11 sub-dubia I–XI); d19-p2-divisio 62050–62188; d19-p2-a1-q1 62189–62531; d19-p2-a1-q2 62532–62963; d19-p2-a1-q3 62964–63761; d19-p2-dubia 63762–64134. DELETE artifact files: d19-p0-a1-q4.md, d19-p0-dubia.md, d19-p0-q0.md, d19-p2-a1-q4.md (no q4 in p2), d19-p2-q2.md (duplicate of d19-p2-a1-q2.md). CREATE missing: d19-p1-a1-q2.md, d19-p1-a1-q3.md","Verified from PDF: p.341 (COMMENTARIUS IN DISTINCTIONEM XIX + PARS I + DIVISIO TEXTUS) and p.353 (DIST. XIX. P. I. DUBIA running head, DUB. XI is last). p1 has 4 questions; p2 has 3 questions. Existing 'p0' chunks are pre-pipeline artifacts to delete.",done
E. d.20–23 running-head false starts,pt1,d.20,d20 multi (re-chunk),boundary,GAP 285 lines between a1-q2 (end 64637) and a2-q2 (start 64922),"d.20 has 2 articuli with 2 questions each (no dubia). a2-q1 was missing because OCR rendered 'QUAESTIO I.' as 'QUAESTIO [.' — patched regex now catches it. ART. II header at 64640, intro block 64640–64700, then a2-q1 at 64701. Existing d20-dubia.md (65152–65645) is wrong: that range is inside a2-q2 content (no DUBIA markers in raw between 64924–65647).",368,373,470,475,63918,65647,"Build chunks: d20-littera 63918–64134; d20-divisio 64135–64190; d20-a1-q1 64195–64463; d20-a1-q2 64464–64639; d20-a2-q1 64701–64923 (absorbs ART. II intro 64640–64700); d20-a2-q2 64924–65647. DELETE d20-dubia.md (no dubia section); CREATE d20-a2-q1.md (currently missing).","Verified from PDF p.371 (DIST. XX. ART. II running head, ARTICULUS II / De ordine in divinis / QUAESTIO I 'utrum in divinis sit ordo'). p.370 shows QUAESTIO II of ART. I 'Utrum in divinis personis sit aequalitas quantum ad intensionem potentiae'.",done
E. d.20–23 running-head false starts,pt1,d.21,d21 multi (re-chunk),boundary,a2-q1 mid-content (66347); q2 mid-content (66012); UNCOVERED QUAESTIO I at 65757,"d.21 has 2 articuli with 2 questions each + dubia (3 sub-dubia I–III). OCR-garbled headers (now caught by patched regex): 'QU.\\ESnO II.' line 66086 (a1-q2 — T→n in STIO). Existing audit issues are running-head false starts: lines 66012 ('DIST. XXI. .\\RT. i. QUAEST. II.') and 66347 ('DIST. XXI. .\\RT. II. QUAEST. I.') are page-top running heads, not section breaks. Real headers: a1-q1 65758, a1-q2 66086, a2-q1 66439, a2-q2 66680. ART. II intro at line 66420.",375,387,477,489,65648,67092,"Build chunks: d21-divisio 65648–65757 (commentarius + tractatio + ART. I header); d21-a1-q1 65758–66085; d21-a1-q2 66086–66419; d21-a2-q1 66439–66679 (absorbs ART. II intro 66420–66438); d21-a2-q2 66680–66955; d21-dubia 66956–67092 (DUB. I 66956, II 66991, III 67009; DUB. III response ends 67045 + footnotes 67047–67092). d.22 littera (DISTINCTIO XXII) starts at 67093.","Verified from PDF p.385 (DIST. XXI. ART. II. QUAEST. II. running head, QUAESTIO II 'Utrum dictio exclusiva solus vere addatur termino personali respectu praedicati communis'). Originally-flagged 66012 and 66347 are running heads — patched dedupe + new RE_QUAESTIO catches the real markers a few lines later.",done
E. d.20–23 running-head false starts,pt1,d.22,d22 multi (re-chunk),boundary,q0 mid-content (67497); OVERLAP 212 lines,"d.22 has ARTICULUS UNICUS with 4 questions + dubia. OCR-garbled headers (caught by patched regex): 'TRACT.^TIO QUAESTIONUM' line 67303; 'ARTICULUS UNIGUS' line 67357; 'QU.^ESTIO II.' line 67712. d.22 dubia includes a special 'QUINQUE REGULAE DE NOMINIBUS DIVINIS' sub-section at line 68889 (Five Rules on Divine Names — keep within d22-dubia). DUB. II is not separately marked; only DUB. I, III, IV present in raw.",388,403,490,505,67093,69437,"Build chunks: d22-littera 67093–67254 (DISTINCTIO XXII + Caps I–IV); d22-divisio 67255–67359 (commentarius + tractatio + articulus unicus header); d22-a1-q1 67360–67711; d22-a1-q2 67712–68034; d22-a1-q3 68035–68440; d22-a1-q4 68441–68814; d22-dubia 68815–69437 (DUBIA CIRCA LITTERAM at 68815, DUB. I 68818, QUINQUE REGULAE 68889, DUB. III 68913, DUB. IV 68940). d.23 commentarius at 69438. DELETE legacy d22-q0 file.","Verified from PDF p.388 (DISTINCTIO XXII / CAP. I 'De nominum differentia, quibus utimur loquentes de Deo'), p.389 (COMMENTARIUS IN DISTINCTIONEM XXII / DIVISIO TEXTUS / TRACTATIO QUAESTIONUM), p.390 (ARTICULUS UNICUS / De nominibus divinis / QUAESTIO I), p.392 (QUAESTIO II 'Utrum Deus habeat unum solum nomen, an plura').",done
E. d.20–23 running-head false starts,pt1,d.23,d23 multi (re-chunk),boundary,a1-q2 and a1-q3 both start at running heads,"d.23 (last distinction in pt1) has 2 articuli × 3 questions + dubia (DUB. I, II only). OCR-garbled headers (caught by patched regex): 'DISTINCTIO XXIIL' line 69014 = running head; real 'DISTINCTIO XXIII.' at 69043; 'TRACTATIO QUAESTIONnVI' line 69484 (TRACTATIO QUAESTIONUM mangled); 'QUAESTIO 1.' line 69509 (digit 1); 'QUAESTIO IL.' line 69792 (a1-q2; IL=II); 'QIUESTIO m.' line 70027 (a1-q3; m=III); 'ARTICULUS 11.' line 70492; 'QUAESTIO m.' line 71002 (a2-q3; m=III); 'DUBL\\ CIRC.V LITTERAM M.\\G1STRL' line 71288 (DUBIA header). pt1 raw ends with library/catalog text after line 71361.",401,419,503,521,69043,71361,"Build chunks: d23-littera 69043–69437; d23-divisio 69438–69508 (commentarius + tractatio + ART. I header); d23-a1-q1 69509–69791; d23-a1-q2 69792–70026; d23-a1-q3 70027–70491; d23-a2-q1 70510–70796 (absorbs ART. II intro 70492–70509); d23-a2-q2 70797–71001; d23-a2-q3 71002–71287; d23-dubia 71288–71361 (DUB. I 71291, DUB. II 71323).","Verified from PDF p.406 (DIST. XXIII. ART. I. QUAEST. II. running head + QUAESTIO II 'Utrum in divinis nomine substantiae et subsistentiae convenienter utendum sit'), p.408 (QUAESTIO III 'Utrum nomen essentiae in divinis convenienter adhibeatur'). With patched regex, d.23 should re-chunk cleanly.",done
